marco,Parigi,Louvre,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Paris_July_2011-27a.jpg/1218px-Paris_July_2011-27a.jpg,Non so,Central Park
marco,Roma,Piazza di Spagna,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Piazza_di_Spagna.jpg/450px-Piazza_di_Spagna.jpg,New York,Empire State Building
marco,Roma,Colosseo,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Colosseum_in_Rome-April_2007-1-_copie_2B.jpg/390px-Colosseum_in_Rome-April_2007-1-_copie_2B.jpg,Non so,Non so
marco,New York,Empire State Building,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Empire_State_Building_by_David_Shankbone_crop.jpg/255px-Empire_State_Building_by_David_Shankbone_crop.jpg,Non so,Non so
marco,Roma,Piazza di Spagna,http://www.giovannirinaldi.it/page/rome/piazzadispagna/piazzadispagna0014.jpg,New York,Times Square
marco1,Parigi,Louvre,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Paris_July_2011-27a.jpg/1218px-Paris_July_2011-27a.jpg,Non so,Non so
marco1,Roma,Piazza di Spagna,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Piazza_di_Spagna.jpg/450px-Piazza_di_Spagna.jpg,New York,Empire State Building
marco1,Roma,Colosseo,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Colosseum_in_Rome-April_2007-1-_copie_2B.jpg/390px-Colosseum_in_Rome-April_2007-1-_copie_2B.jpg,Non so,Non so
marco1,New York,Empire State Building,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Empire_State_Building_by_David_Shankbone_crop.jpg/255px-Empire_State_Building_by_David_Shankbone_crop.jpg,Non so,Empire State Building
marco1,New York,Empire State Building,http://www.giovannirinaldi.it/page/rome/piazzadispagna/piazzadispagna0014.jpg,New York,Times Square
